0,55377.59999999998,success
1,54854.19999999995,success
2,55473.80000000005,success
3,54287.40000000002,success
4,54564.80000000005,success
5,54672.39999999991,success
6,55434.10000000009,success
7,55749.39999999991,success
8,55524.09999999986,success
9,56031.69999999995,success
10,56072.69999999995,success
11,56075,success
12,56736.5,success
13,57411.10000000009,success
14,56365.80000000005,success
15,56151.69999999995,success
16,56427.200000000186,success
17,55995.90000000014,success
18,55604.900000000256,success
19,54973.90000000037,success
20,55256.700000000186,success
26,55158.39999999991,success
27,54775.299999999814,success
28,54349,success
29,53733.700000000186,success
30,53876.700000000186,success
31,53694.799999999814,success
32,53710.700000000186,success
33,53438.299999999814,success
34,54123.700000000186,success
35,53939.30000000028,success
36,53578.299999999814,success
37,53758.39999999991,success
38,55055.10000000009,success
39,55592.799999999814,success
40,55059.69999999972,success
41,55588.39999999991,success
42,55206,success
43,55018.10000000009,success
44,55436.299999999814,success
45,55191.200000000186,success
46,55407.60000000009,success
47,55662,success
48,55499.200000000186,success
49,55181.799999999814,success
53,56955.60000000009,success
54,55083.199999999255,success
55,54661.90000000037,success
56,54530.60000000056,success
57,53809.199999999255,success
58,53865.10000000056,success
59,54226,success
60,53800.09999999963,success
61,53877,success
62,54249.799999999814,success
63,55827.5,success
64,55366.40000000037,success
65,55756.299999999814,success
66,54786.10000000056,success
67,55026.700000000186,success
68,54674.800000000745,success
69,54966.40000000037,success
70,55267,success
71,54656.09999999963,success
72,55228.60000000056,success
73,54949,success
74,55415.90000000037,success
75,55532.60000000056,success
76,59656.799999999814,success
77,59093.299999999814,success
78,57838.799999999814,success
79,54363.10000000056,success
80,54022.199999999255,success
81,53923.59999999963,success
82,54059.299999999814,success
83,54076.59999999963,success
84,53993.5,success
85,53973.200000000186,success
86,53835.5,success
87,54005.699999999255,success
88,53748.60000000056,success
89,54053.09999999963,success
90,54240.299999999814,success
91,53857.10000000056,success
92,53943.89999999944,success
93,53980.40000000037,success
94,53885.60000000056,success
95,53911.5,success
96,53666.90000000037,success
97,53778.700000000186,success
98,53913.39999999944,success
99,53852.5,success
0,53119.200000000186,success
1,54224.09999999963,success
2,59477.09999999963,success
3,58388.10000000056,success
4,58180.40000000037,success
5,57714.700000000186,success
6,58986.90000000037,success
7,57642.699999999255,success
8,57026.39999999851,success
9,57099.39999999851,success
10,57374.199999999255,success
11,57663.40000000037,success
12,57338.40000000037,success
13,57343.60000000149,success
14,57079.40000000037,success
15,56983.90000000037,success
16,57320.40000000037,success
17,57082.59999999963,success
18,57081.90000000037,success
19,57394.5,success
20,57214.09999999963,success
21,57120.5,success
22,57211.40000000037,success
23,57569.300000000745,success
24,57034.09999999963,success
25,57493.300000000745,success
26,57222.79999999888,success
27,56997.89999999851,success
28,57227.79999999888,success
29,57170.90000000037,success
30,57162.199999999255,success
31,57405.5,success
32,57469.70000000112,success
33,57331.199999999255,success
34,57217.300000000745,success
35,57310,success
36,57137.300000000745,success
37,57065.09999999963,success
38,57389.699999999255,success
39,57179.70000000112,success
40,57459.09999999963,success
41,57245.70000000112,success
42,57271.699999999255,success
43,57281,success
44,57001.60000000149,success
45,57078,success
46,57120.79999999888,success
47,57574,success
48,57314.79999999888,success
49,57281.70000000112,success
50,57406.699999999255,success
51,57285.800000000745,success
52,57767.699999999255,success
53,57377.40000000037,success
54,57259.199999999255,success
55,57428.800000000745,success
56,57748.29999999888,success
57,57178.40000000037,success
58,57139.70000000112,success
59,57118.5,success
60,57190.59999999963,success
61,57475.59999999963,success
62,57340.699999999255,success
63,57466.90000000037,success
64,57650.300000000745,success
65,57335.199999999255,success
66,57546.5,success
67,57218.5,success
68,57281.699999999255,success
69,57892.199999999255,success
70,57872.70000000112,success
71,58057.90000000037,success
72,57294.800000000745,success
73,58024,success
74,57688.300000000745,success
75,57291.300000000745,success
76,57273.79999999888,success
