3025.80,16.50
2542.90,23.90
2646.60,20.30
2542.40,15.10
2643.20,21.00
2627.90,14.50
2623.10,19.60
2548.60,25.60
2579.00,14.50
2683.50,23.80
2727.90,15.70
2749.10,25.40
2645.50,26.90
2557.10,22.30
2848.80,23.60
2669.80,25.00
2755.20,25.90
2650.20,24.80
2709.90,23.80
2681.40,20.10
2673.10,23.30
2762.80,24.10
2612.20,23.50
2690.30,24.40
2617.00,15.50
2844.30,24.80
2658.60,24.80
2836.80,26.10
2820.30,26.60
2748.70,25.90
2629.90,25.60
2939.00,28.50
2870.60,28.00
2735.50,21.70
2673.00,25.70
2623.20,25.40
2835.30,30.40
2712.30,24.70
2669.90,24.80
2686.40,28.20
2721.70,25.10
2775.10,20.20
2697.80,26.80
2807.90,27.60
2662.70,15.70
2712.30,25.30
2871.70,27.30
2862.80,26.90
2724.90,15.70
2735.50,21.10
2803.50,25.40
2743.90,22.10
2967.40,26.20
2713.40,30.40
2843.00,26.50
2698.10,24.90
2685.00,26.40
2740.30,24.90
2701.10,16.80
2781.50,25.30
2766.10,16.60
2779.30,26.80
2796.30,25.60
2734.60,17.00
2627.10,20.40
2651.30,26.00
2665.80,25.00
2642.80,15.50
2784.90,28.20
2859.40,16.90
2667.50,18.20
2734.70,15.90
2764.00,15.90
2741.90,16.60
3207.80,17.70
2857.10,16.20
2880.90,16.20
2725.10,16.90
2749.10,17.10
2916.60,19.60
2741.60,16.70
2757.40,16.20
3288.50,18.10
3028.90,16.80
2792.70,16.90
2754.30,16.60
2651.90,16.70
2775.90,16.60
2673.80,18.20
2626.50,26.60
2766.50,27.20
2713.60,16.80
2870.40,26.50
2947.90,16.20
2803.00,16.70
3091.70,17.80
2784.70,26.00
2863.00,16.30
3110.90,25.20
2846.20,16.80
